num,den,ratio,power_ratio.re,power_ratio.im,power_double_ratio.re,power_double_ratio.im
228,923,0.24702058504875407,0.7136943053083441,0.7004573067435589,0.018719122859119752,0.9998247818689959
229,927,0.24703344120819848,0.7136660140849198,0.7004861314402613,0.01863835931971405,0.9998262906934731
209,846,0.2470449172576832,0.7136407589436456,0.7005118608377288,0.01856626565132498,0.9998276320345244
230,931,0.24704618689581095,0.7136379648162463,0.7005147073209285,0.018558289654147898,0.9998277801127116
211,854,0.24707259953161592,0.7135798352304288,0.7005739209765904,0.01839236249497191,0.9998308461944218
213,862,0.2470997679814385,0.7135200371042076,0.7006348240351818,0.018221686698379536,0.9998339712841658
217,878,0.24715261958997722,0.713403695106698,0.7007532859773898,0.017889664383781,0.9998399671488611
219,886,0.24717832957110608,0.713347092735082,0.7008109055133249,0.017728149427187246,0.9998428440099411
221,894,0.24720357941834453,0.7132914988517262,0.7008674893771702,0.017569524668284167,0.9998456439885761
223,902,0.24722838137472283,0.713236886743033,0.700923065242617,0.017413713221788106,0.9998483698000559
227,918,0.24727668845315903,0.7131305056306346,0.7010312988297993,0.017110236122009258,0.9998536091947906
229,926,0.2473002159827214,0.7130786877155165,0.7010840071816763,0.01696242974816637,0.9998561276388911
231,934,0.24732334047109208,0.713027753677255,0.7011358088744061,0.016817155028064638,0.999858581648806
208,841,0.2473246135552913,0.7130249494704937,0.7011386606318325,0.016809157134800037,0.9998587161376439
209,845,0.24733727810650888,0.7129970527996652,0.701167029101477,0.016729594602017017,0.9998600505393003
211,853,0.2473622508792497,0.712942041051452,0.7012229646135313,0.016572707797220466,0.9998626632474422
212,857,0.24737456242707118,0.7129149187087889,0.7012505391673086,0.01649536263511798,0.9998639422499123
214,865,0.24739884393063583,0.7128614234249803,0.7013049201256976,0.01634281801497802,0.9998664472314936
215,869,0.2474108170310702,0.7128350436135775,0.701331733629977,0.016267598807141813,0.9998676738594212
217,877,0.24743443557582667,0.7127830029442088,0.7013846239502517,0.01611921857232791,0.9998700769563101
218,881,0.2474460839954597,0.7127573355845213,0.7014107074820388,0.01604603885909166,0.999871254030704
220,889,0.24746906636670415,0.7127066909978497,0.7014621676233833,0.01590165478620889,0.9998735606940811
221,893,0.24748040313549832,0.712681707613297,0.7014875505904542,0.015830432733209932,0.999874690848548
223,901,0.24750277469478357,0.7126324036762285,0.7015376377861996,0.015689885538718105,0.9998769061698455
224,905,0.24751381215469614,0.7126080772878243,0.7015623480376852,0.015620543631699452,0.9998779918653327
226,913,0.2475355969331873,0.7125600614635466,0.7016111165076183,0.01548368238586646,0.999880120604352
227,917,0.247546346782988,0.7125363664927309,0.7016351804359134,0.015416147149326414,0.9998811641425547
229,925,0.24756756756756756,0.7124895889540018,0.7016826815820364,0.015282828735685103,0.9998832107530538
230,929,0.24757804090419805,0.7124665011329414,0.7017061242168151,0.015217030473231348,0.9998842142886228
232,937,0.24759871931696906,0.7124209145896369,0.7017524068040418,0.015087119089469267,0.9998861829416287
209,844,0.2476303317535545,0.7123512176599412,0.7018231562853986,0.014888514603201923,0.9998891599236939
211,852,0.2476525821596244,0.7123021572792982,0.7018729491405534,0.014748726529484266,0.9998912316175987
213,860,0.24767441860465117,0.7122540062659631,0.701921812282597,0.01461153888382932,0.9998932457674901
215,868,0.24769585253456222,0.712206739569063,0.7019697715090051,0.014476879775190387,0.9998952044849374
217,876,0.24771689497716895,0.7121603330494544,0.7020168516715892,0.014344679938219664,0.9998971097855369
219,884,0.24773755656108598,0.712114763438619,0.7020630767194352,0.014214872614480721,0.9998989635940994
221,892,0.24775784753363228,0.7120700082997657,0.7021084697395208,0.014087393440056712,0.9999007677495128
223,900,0.2477777777777778,0.7120260459909965,0.7021530529951624,0.013962180339145352,0.9999025240093042
225,908,0.24779735682819384,0.7119828556304159,0.7021968479624203,0.013839173423283196,0.9999042340539219
227,916,0.24781659388646288,0.7119404170630594,0.7022398753645914,0.013718314895846127,0.9999058994907563
229,924,0.24783549783549783,0.7118987108295358,0.7022821552049041,0.013599548961510015,0.9999075218579183
231,932,0.2478540772532189,0.7118577181362772,0.7023237067975225,0.01348282174037503,0.9999091026277925
208,839,0.24791418355184744,0.7117250860071074,0.7024581140168968,0.013105196103648884,0.9999141232301326
209,843,0.2479240806642942,0.7117032443466593,0.7024802431289006,0.013043016027121428,0.9999149362485372
211,851,0.24794359576968272,0.7116601749909142,0.7025238752753542,0.012920409336197038,0.9999165280275074
212,855,0.247953216374269,0.7116389415697271,0.7025453841863304,0.012859966316962897,0.9999173072141149
213,859,0.2479627473806752,0.7116179052576563,0.7025666921486566,0.012800086166589373,0.9999180755412554
214,863,0.24797219003476245,0.7115970633227936,0.7025878019652605,0.012740761059247738,0.9999188332097917
215,867,0.24798154555940022,0.7115764130834829,0.7026087163871827,0.012681983313510973,0.9999195804159632
216,871,0.24799081515499427,0.7115559519071704,0.7026294381147724,0.012623745389038538,0.9999203173515141
218,879,0.24800910125142206,0.7115155864521525,0.7026703140418339,0.012508859528700959,0.9999217611559873
219,883,0.2480181200453001,0.7114956771439325,0.7026904733988479,0.012452197189005873,0.9999224683870076
220,887,0.2480270574971815,0.711475946837592,0.702710450378783,0.012396045856896049,0.9999231660718306
221,891,0.24803591470258138,0.7114563931299016,0.7027302474453414,0.012340398650818311,0.9999238543814918
222,895,0.24804469273743016,0.7114370136604596,0.70274986701805,0.012285248812226004,0.9999245334832133
223,899,0.24805339265850945,0.7114178061107419,0.7027693114732451,0.012230589702842192,0.9999252035405052
225,907,0.24807056229327454,0.7113798977002503,0.7028076843262183,0.01212271770403721,0.9999265171578701
226,911,0.24807903402854006,0.7113611924036183,0.7028266172692256,0.012069492115795064,0.9999271610272754
227,915,0.24808743169398906,0.7113426501532637,0.7028453841869715,0.012016731854136924,0.9999277964710981
228,919,0.24809575625680086,0.7113242688266598,0.7028639872537346,0.011964430843564263,0.9999284236357068
229,923,0.24810400866738894,0.7113060463379616,0.7028824286059921,0.011912583113884698,0.9999290426643056
